Nombre_Completo;Cédula;Edad;Género;Ingresos;Frecuencia_Visitas;Gasto_Promedio;Preferencia_Producto;Ubicación;Método_Pago;Canal_Compra
Carlos López;6022768040;62;1;55543;19;19.585.979.220.891.800;2;Quito;2;0
Lucía Martínez;2501652580;18;1;46187;20;37.468.232.940.321.100;5;Quito;1;0
Carlos Gómez;8631930086;33;0;17239;33;11.073.410.610.406.200;1;Quito;2;0
Luis Sánchez;8759358685;56;0;24489;20;39.601.704.547.010.100;3;Guayaquil;2;0
Lucía Martínez;7022021263;22;0;68017;49;3.058.235.505.477.680;2;Loja;0;0
Ana Ramírez;3229661713;39;0;71877;12;6.599.097.702.728.690;3;Ambato;0;0
Lucía Rodríguez;9656872032;46;0;53125;47;21.310.724.625.977.700;5;Cuenca;1;1
Sofía Martínez;2983639422;20;1;59922;1;4.331.238.889.003.480;2;Cuenca;2;1
María Ramírez;5258329500;29;1;42049;26;46.225.051.358.125.700;4;Guayaquil;2;0
Sofía García;1674039598;43;1;47131;14;23.819.305.993.621.800;3;Quito;0;1
Pedro Pérez;765261449;33;1;52944;38;24.561.011.926.364.600;2;Guayaquil;2;1
Daniela González;8251982661;68;0;83963;37;4.600.428.152.202.570;3;Loja;0;1
Miguel Pérez;7575030988;54;0;34285;11;29.766.342.982.691.700;2;Loja;1;1
Daniela Rodríguez;3089040771;39;0;47626;36;2.609.486.841.928.470;1;Ambato;0;0
Carlos López;4528425723;46;1;52808;13;45.724.723.681.077.300;3;Ambato;2;1
Miguel Rodríguez;9645123522;31;1;98464;43;1.316.309.569.510.040;4;Loja;1;1
Pedro Rodríguez;629802621;45;0;63871;3;29.303.965.750.485.800;4;Loja;0;1
Carlos Martínez;9547810444;22;0;29198;33;9.110.152.553.970.710;5;Loja;0;0
Miguel Sánchez;7690438214;64;1;29758;6;26.600.788.520.831.500;2;Guayaquil;1;0
María López;4229485098;66;1;25254;10;16.262.185.385.505.100;3;Loja;1;0
Miguel García;9981424039;47;0;54238;5;39.244.289.669.758.200;5;Cuenca;0;0
Daniela Flores;2744995712;63;0;11252;23;1.460.177.145.884.140;3;Quito;2;0
Daniela Martínez;9557055819;69;1;49764;10;11.784.763.489.973.700;2;Loja;0;0
María López;156218256;22;0;87709;44;11.421.358.432.720.000;4;Quito;1;0
Carlos Ramírez;4559272362;29;0;47441;2;2.624.351.043.793.380;1;Guayaquil;0;1
Luis Pérez;3704990229;33;0;63682;13;48.801.524.468.455.000;4;Quito;1;1
Ana García;8831876960;43;1;69494;40;2.349.046.041.283.360;5;Guayaquil;1;1
Lucía López;8269111526;43;1;91317;2;2.830.796.307.561.230;1;Cuenca;2;0
María González;7262498042;65;1;75215;20;43.170.968.876.645.900;5;Guayaquil;1;0
Sofía Gómez;762754008;38;1;88587;1;2.721.841.622.774.920;2;Guayaquil;1;0
Ana González;9585113878;56;1;16949;37;10.038.680.699.523.900;1;Ambato;2;0
María Gómez;8221784619;53;1;65393;9;15.680.199.676.557.300;5;Loja;1;0
María Gómez;8988073988;50;1;83553;17;16.186.909.387.161.900;2;Loja;2;1
Ana Ramírez;8271882843;47;0;16941;9;20.468.587.657.422.200;4;Cuenca;2;1
Carlos Flores;7201389263;54;0;35934;11;2.191.265.636.150.070;2;Cuenca;1;0
Lucía Martínez;9591919214;40;0;33386;15;401.893.190.816.392;3;Loja;1;0
María Martínez;7365352709;27;0;71886;24;18.119.962.953.417.300;2;Ambato;0;0
Lucía Gómez;5776306338;22;0;85745;38;23.943.359.593.627.500;2;Loja;2;0
Miguel Flores;7334421496;53;0;93251;35;3.162.382.336.550.150;3;Ambato;0;1
Juan Flores;9635024564;51;0;63413;30;19.508.571.424.568.200;5;Cuenca;1;0
Carlos Flores;4249710563;69;1;66800;31;4.199.167.585.132.430;5;Quito;0;0
Lucía Pérez;8762102480;48;1;52318;49;29.785.226.607.469.600;2;Cuenca;2;0
Lucía Ramírez;4616426077;27;0;80173;5;15.408.189.281.827.600;3;Cuenca;0;0
Luis Pérez;1419502848;36;0;80390;44;35.988.900.789.701.500;3;Guayaquil;2;1
Lucía Rodríguez;6959867585;49;1;62329;14;2.685.473.877.709.450;4;Guayaquil;1;0
